"Oceanic Life"|1
"Sass and Other CSS Preprocessors"|1
"Tensor Calculus"|1
"American National Parks"|0
"Apocryphal Literature"|0
"Authors and Novels"|0
"Bootstrap Framework"|0
"Business & Economics"|0
"Clojure Programming"|0
"Comic Book Secret Identities"|0
"Comic Strip Authors"|0
"Composer for PHP"|0
"Composers and Compositions"|0
"Confucius and Confucianism"|0
Conservation/Biodiversity|0
"Countries of South America"|0
"C. S. Lewis's Chronicles of Narnia Series"|0
"Cypress Testing Framework"|0
"Database Cookbook"|0
"Database Design Patterns"|0
"Design Antipatterns"|0
"Design Patterns in PHP"|0
"Domain-Driven Design"|0
"Electric Circuits and Devices"|0
"Electron Software Framework"|0
"Ethics of Technology"|0
"Florida Geography"|0
"Functional Programming in JavaScript"|0
"Functional Programming in PHP"|0
"Functional Programming in Python"|0
"George R. R. Martin's Game of Thrones Series"|0
"Go Programming"|0
"Greek Vocabulary"|0
"History of Asia"|0
"Horror Creatures"|0
"Isaac Asimov's Foundation Series"|0
"Japanese Vocabulary"|0
"jQuery Programming"|0
"J. R. R. Tolkien's Lord of the Rings Series"|0
"Karl Marx and Marxism"|0
"Large Language Models"|0
"Laws of Computing"|0
"Life in Ancient Rome"|0
"Lifestyle & Personal Development"|0
"Machine Learning in Python"|0
"Making a Constructed Language"|0
"Marvel Cinematic Universe Movies"|0
"Men's Clothing and Fashion"|0
"Men's Fitness"|0
"Microsoft Windows 11"|0
"Neural Networks/Deep Learning"|0
"Painters and Paintings"|0
"Pollution/Air Quality"|0
"Prolog Programming"|0
"Psychology of Software Development"|0
"Religion & Spirituality"|0
"Robert Jordan's Wheel of Time Series"|0
"Sales & Marketing"|0
"Science & Nature"|0
"Scientists and Discoveries"|0
"Secret Agents and Spycraft"|0
"Slang and Colloquialisms"|0
"Social Issues/Inequality"|0
"Software Compilers"|0
"Software Debugging"|0
"Software Requirements Specifications"|0
"T'ai Chi and QiGong"|0
"The Matrix Movies"|0
"Travel & Tourism"|0
"Virtual Reality/Augmented Reality"|0
"Writing Software Project Documentation"|0
"XML Processing in PHP"|0
